Team,Year,Bat 1st Won,Bat 1st Lost,Bat 1st Tied,Bat 2nd Won,Bat 2nd Lost,Bat 2nd Tied,Bat 1st Win %,Bat 1st Loss %,Bat 2nd Win %,Bat 2nd Loss %
Australia,2016,2,3,0,4,3,0,40.0,60.0,57.14,42.86
Australia,2017,1,3,0,1,0,0,25.0,75.0,100.0,0.0
Australia,2018,1,2,0,6,6,0,33.33,66.67,50.0,50.0
Australia,2019,1,0,0,6,0,0,100.0,0.0,100.0,0.0
Australia,2020,3,2,0,1,3,0,60.0,40.0,25.0,75.0
Australia,2021,3,2,0,0,5,0,60.0,40.0,0.0,100.0
Bangladesh,2016,1,2,0,1,4,0,33.33,66.67,20.0,80.0
Bangladesh,2017,1,2,0,0,4,0,33.33,66.67,0.0,100.0
Bangladesh,2018,3,5,0,2,3,0,37.5,62.5,40.0,60.0
Bangladesh,2019,0,1,0,1,1,0,0.0,100.0,50.0,50.0
England,2016,1,5,0,3,0,0,16.67,83.33,100.0,0.0
England,2017,1,0,0,2,4,0,100.0,0.0,33.33,66.67
England,2018,3,4,0,1,1,0,42.86,57.14,50.0,50.0
England,2019,2,0,0,4,2,1,100.0,0.0,57.14,28.57
England,2020,2,1,0,6,2,0,66.67,33.33,75.0,25.0
England,2021,2,1,0,5,3,0,66.67,33.33,62.5,37.5
India,2016,5,2,0,7,2,0,71.43,28.57,77.78,22.22
India,2017,6,3,0,3,1,0,66.67,33.33,75.0,25.0
India,2018,4,3,0,8,1,0,57.14,42.86,88.89,11.11
India,2019,3,5,0,6,2,0,37.5,62.5,75.0,25.0
India,2020,3,0,2,4,1,0,60.0,0.0,80.0,20.0
India,2021,2,2,0,1,0,0,50.0,50.0,100.0,0.0
New Zealand,2016,6,1,0,2,1,0,85.71,14.29,66.67,33.33
New Zealand,2017,4,0,0,1,3,0,100.0,0.0,25.0,75.0
New Zealand,2018,2,4,0,1,5,0,33.33,66.67,16.67,83.33
New Zealand,2019,5,2,1,2,2,0,62.5,25.0,50.0,50.0
New Zealand,2020,1,3,0,3,1,2,25.0,75.0,50.0,16.67
New Zealand,2021,5,0,0,1,2,0,100.0,0.0,33.33,66.67
Pakistan,2016,3,4,0,4,3,0,42.86,57.14,57.14,42.86
Pakistan,2017,2,1,0,4,0,0,66.67,33.33,100.0,0.0
Pakistan,2018,10,2,0,3,0,0,83.33,16.67,100.0,0.0
Pakistan,2019,1,3,0,0,5,0,25.0,75.0,0.0,100.0
Pakistan,2020,1,3,0,3,0,0,25.0,75.0,100.0,0.0
Pakistan,2021,2,3,0,4,1,0,40.0,60.0,80.0,20.0
South Africa,2016,0,4,0,4,0,0,0.0,100.0,100.0,0.0
South Africa,2017,5,3,0,0,1,0,62.5,37.5,0.0,100.0
South Africa,2018,1,1,0,1,2,0,50.0,50.0,33.33,66.67
South Africa,2019,4,1,0,1,1,1,80.0,20.0,33.33,33.33
South Africa,2020,2,4,0,0,3,0,33.33,66.67,0.0,100.0
South Africa,2021,3,5,0,2,2,0,37.5,62.5,50.0,50.0
Sri Lanka,2016,0,8,0,1,5,0,0.0,100.0,16.67,83.33
Sri Lanka,2017,0,4,0,5,6,0,0.0,100.0,45.45,54.55
Sri Lanka,2018,1,3,0,3,1,0,25.0,75.0,75.0,25.0
Sri Lanka,2019,4,4,1,0,4,0,44.44,44.44,0.0,100.0
Sri Lanka,2020,0,2,0,0,2,0,0.0,100.0,0.0,100.0
Sri Lanka,2021,1,4,0,0,1,0,20.0,80.0,0.0,100.0
West Indies,2016,1,2,0,5,1,0,33.33,66.67,83.33,16.67
West Indies,2017,1,2,0,2,2,0,33.33,66.67,50.0,50.0
West Indies,2018,1,3,0,2,7,0,25.0,75.0,22.22,77.78
West Indies,2019,0,5,0,1,3,0,0.0,100.0,25.0,75.0
West Indies,2020,1,1,0,1,1,0,50.0,50.0,50.0,50.0
West Indies,2021,4,0,0,4,5,0,100.0,0.0,44.44,55.56
